,1,2,3,4,5,6,7,8,9,10,11,12
12,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
11,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
10,-10,-10,0,0,0,0,0,0,0,0,-10,-10
9,-10,-10,0,0,0,0,0,0,0,0,-10,-10
8,-10,-10,0,0,0,0,0,0,0,0,-10,-10
7,-10,-10,0,0,0,0,0,0,0,0,-10,-10
6,-10,-10,0,0,0,0,0,0,0,0,-10,-10
5,-10,-10,0,0,0,0,0,0,0,0,-10,-10
4,-10,-10,0,0,0,0,0,0,0,0,-10,-10
3,-10,20,0,-10,0,0,0,0,0,0,-10,-10
2,-10,0,-10,-10,-10,0,0,-10,-10,-10,-10,-10
1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
