,1,2,3,4
"1,1",0,0,0,0
"1,2",0,0,0,0
"1,3",0,0,0,0
"1,4",0,0,0,0
"1,5",0,0,0,0
"1,6",0,0,0,0
"1,7",0,0,0,0
"1,8",0,0,0,0
"1,9",0,0,0,0
"1,10",0,0,0,0
"1,11",0,0,0,0
"1,12",0,0,0,0
"2,1",0,0,0,0
"2,2",0,0,0,0
"2,3",0,0,0,0
"2,4",0,0,0,0
"2,5",0,0,0,0
"2,6",0,0,0,0
"2,7",0,0,0,0
"2,8",0,0,0,0
"2,9",0,0,0,0
"2,10",0,0,0,0
"2,11",0,0,0,0
"2,12",0,0,0,0
"3,1",0,0,0,0
"3,2",0,0,0,0
"3,3",0.19999999999999968,-9.999999999999993,19.999999999999986,-9.999999999999993
"3,4",0.019999999999999955,1.9999999999999978,-9.999999999999993,0.019999999999999955
"3,5",0.001999999999999994,0.19999999999999968,-9.999999999999993,0.001999999999999994
"3,6",0.00019999999999999928,0.019999999999999955,-9.999999999999993,0.00019999999999999928
"3,7",1.9999999999999917e-05,0.001999999999999994,-9.999999999999993,1.9999999999999917e-05
"3,8",1.99999999999999e-06,0.00019999999999999928,-9.999999999999993,1.99999999999999e-06
"3,9",1.9999999999999893e-07,1.9999999999999917e-05,-9.999999999999993,1.9999999999999893e-07
"3,10",-9.999999999999993,1.99999999999999e-06,-9.999999999999993,1.999999999999988e-08
"3,11",0,0,0,0
"3,12",0,0,0,0
"4,1",0,0,0,0
"4,2",0,0,0,0
"4,3",0,0,0,0
"4,4",0.001999999999999994,-9.999999999999993,0.19999999999999968,0.001999999999999994
"4,5",0.00019999999999999928,0.019999999999999955,0.019999999999999955,0.00019999999999999928
"4,6",1.9999999999999917e-05,0.001999999999999994,0.0019999999999999875,1.9999999999999585e-05
"4,7",1.99999999999999e-06,0.00019999999999999928,0.00019999999999999928,1.999999999999933e-06
"4,8",1.9999999999999893e-07,1.9999999999999917e-05,1.9999999985694896e-05,1.999999998330633e-07
"4,9",1.999999999999988e-08,1.99999999999999e-06,1.99999999999999e-06,1.9999999956844843e-08
"4,10",-9.999999999999993,1.9999999999999893e-07,1.9999999999999893e-07,1.9999999993023457e-09
"4,11",0,0,0,0
"4,12",0,0,0,0
"5,1",0,0,0,0
"5,2",0,0,0,0
"5,3",0.001999999999999994,-9.999444667132746,-9.999704873345692,1.99986288077351e-05
"5,4",0.00019999999999999928,0.00019999999999999928,0.019999999999999955,0.00019999999999999928
"5,5",1.9999999999999917e-05,0.001999999999999994,0.001999999999999786,1.9999999999999778e-05
"5,6",1.99999999999999e-06,0.00019999999999999928,0.00019999999999545343,1.9999999998326758e-06
"5,7",1.9999999999999893e-07,1.9999999999999917e-05,1.9999999999999917e-05,1.9999995340927235e-07
"5,8",1.999999999999988e-08,1.99999999999999e-06,1.9999902489639676e-06,1.999988204175066e-08
"5,9",1.9999999999999865e-09,1.9999999999999893e-07,1.9999831126584966e-07,1.9999843122689543e-09
"5,10",-9.999999999999993,1.999999999999988e-08,1.999999999999988e-08,1.9999984563130868e-10
"5,11",0,0,0,0
"5,12",0,0,0,0
"6,1",0,0,0,0
"6,2",1.9999999999999917e-05,-9.99999999999968,-9.999999999999847,1.999999999998616e-07
"6,3",0.00019999999999999928,1.99999999999999e-06,0.00019999999999999928,1.99999999999999e-06
"6,4",1.9999999999999917e-05,1.9999999999999917e-05,0.001999999999999994,1.9999999999999917e-05
"6,5",1.99999999999999e-06,0.00019999999999999928,0.0001999999999999983,1.9999999999997856e-06
"6,6",1.9999999999999893e-07,1.9999999999999917e-05,1.9999999999981753e-05,1.999999999882138e-07
